featuretype,country,region,featurecode,featurename,pressures_info,pressures_source,use_for_statistics
species,ES,ALP,6945,Pelophylax perezi,"IAS union concern :  Lithobates (Rana) catesbeianus Shaw, 1802; Pacifastacus leniusculus Dana, 1852; Procambarus clarkii Girard, 1852; Pseudorasbora parva Temminck & Schlegel, 1846; Trachemys scripta Schoepff, 1792;
","Bosch, J., Carrascal, L. M., Duran, L., Walker, S., & Fisher, M. C. (2006). Climate change and outbreaks of amphibian chytridiomycosis in a montane area of Central Spain; is there a link?. Proceedings of the Royal Society B: Biological Sciences, 274(1607), 253-260.

Bosch, J., & Martínez-Solano, I. (2006). Chytrid fungus infection related to unusual mortalities of Salamandra salamandra and Bufo bufo in the Penalara Natural Park, Spain. Oryx, 40(1), 84-89.

Bosch, J., Mart??nez-Solano, I., & Garc??a-Par??s, M. (2001). Evidence of a chytrid fungus infection involved in the decline of the common midwife toad (Alytes obstetricans) in protected areas of central Spain. Biological conservation, 97(3), 331-337.

Colomer, M. A., Montori, A., García, E., Fondevilla, C. (2014). Using a bioinspired model to determine the extinction risk of Calotriton asper populations as a result of an increase in extreme rainfall in a scenario of climatic change. Ecological Modelling, 281: 1-14.

Cruz, M. J., Pascoal, S., Tejedo, M., Rebelo, R. (2006). Predation by an exotic crayfish, Procambarus clarkii, on Natterjack Toad, Bufo calamita, embryos: Its role on the exclusion of this amphibian from its breeding ponds. Copeia, 2006: 274-280.

Cruz, M. J., Rebelo, R. (2005). Vulnerability of Southwest Iberian amphibians to an introduced crayfish, Procambarus clarkii. Amphibia-Reptilia, 26: 293-303.

Garner, T. W. J., Walker, S., Bosch, J., Hyatt, A. D., Cunningham, A. A., & Fisher, M. C. (2005). Widespread European distribution of a global amphibian pathogen. Emerg. Infect. Dis, 11, 1639-1641.

Miller D, Gray M, Storfer A. (2011). Ecopathology of ranaviruses infecting amphibians. Viruses; 3(11):2351-73.

Palomar G., Bosch J., Cano, J.M. (2016). Heritability of Batrachochytrium dendrobatidis burden and its genetic correlation with development time in a population of Common toad (Bufo spinosus). Evolution 70 (10): 2346-2356.

Polo-Cavia, N., Gómez-Mestre, I. (2014). Learned recognition of introduced predators determines survival of tadpole prey. Functional Ecology, 28 (2): 432-439.

Pounds JA, Bustamante MR, Coloma LA, Consuegra JA, Fogden MP, Foster PN, La Marca E, Masters KL, Merino-Viteri A, Puschendorf R, Ron SR, Sánchez-Azofeifa GA, Still CJ, Young BE. (2006). Widespread amphibian extinctions from epidemic disease driven by global warming. Nature 439:161-16.

https://mantle.io/grrs 

http://www.bd-maps.net/surveillance",Yes
species,ES,ATL,1067,Lopinga achine,,,Yes
species,ES,ATL,1297,Vipera seoanei,,,Yes
species,ES,ATL,1322,Myotis nattereri,,"Guixé, D. y Camprodon, J. (2018). Manual de conservación y seguimiento de los quirópteros forestales. Ministerio de Agricultura, Pesca y Alimentación, Ministerio para la transición ecológica. Madrid.

Quetglas, J. (2016). Murciélago ratonero ibérico – Myotis escalerai. En: Enciclopedia Virtual de los Vertebrados Españoles. Salvador, A., Barja, I. (Eds.). Museo Nacional de Ciencias Naturales, Madrid. (http://www.vertebradosibericos.org/) [Acceso 03/04/19]",Yes
species,ES,ATL,1330,Myotis mystacinus,,,Yes
species,ES,ATL,1426,Woodwardia radicans,,,Yes
species,ES,ATL,1891,Festuca summilusitana,"En el caso de las poblaciones atlánticas-leonesas, trabajos recientes indican que no presentan problemas de conservación, por lo que se entiende que la conservación del hábitat es buena y no existen presiones que afecten a la especie.",,Yes
species,ES,MAC,1300,Crocidura canariensis,"In 2013 the presence of cestode Joyeuxiella pasqualei has been found in the liver of individuals of C. canariensis. This cestode is lethal for the species and it is probably transmitted by feral cats. Canarian feral cats were infected in the 100% of the cases (Sánchez Vicente, 2013).","Gisbert J., Garcia-Perea R. & Feliu C. 2018. Estudio de la incidencia del cestodo Joyeuxiella pasqualei en la conservación de la musaraña canaria, Crocidura canariensis. GALEMIA / Gobierno de Canarias. Inédito.

Medina F.M., García R. & Nogales M. 2006. Feeding ecology of feral cats in a subtropical heterogeneous environmental oceanic island (La Palma, Canarian Archipelago). Acta Theriologica, 51, 75–83

Sánchez Vicente S. 2013. Contribución al conocimiento de la parasitofauna (helmintos y artrópodos) de mamíferos no lagomorfos de Canarias. Departament de Microbiologia i Parasitologia Sanitàries, Facultat de Farmàcia, Universitat de Barcelona.  426 pp.

Schuster C. 2013. Estudio de distribución y captura de ejemplares de musaraña canaria. Proyecto de terrario y animalario de musaraña en la Estación Biológica de La Oliva. Asociación para el Desarrollo Sostenible y la Conservación de la Biodiversidad / Cabildo de Fuerteventura. 98 pp. Inédito.",Yes
species,ES,MAC,1819,Sventenia bupleuroides,,,Yes
species,ES,MAC,6945,Pelophylax perezi,"IAS union concern :  Lithobates (Rana) catesbeianus Shaw, 1802; Pacifastacus leniusculus Dana, 1852; Procambarus clarkii Girard, 1852; Pseudorasbora parva Temminck & Schlegel, 1846; Trachemys scripta Schoepff, 1792;
",,Yes
